status,orbital_period,planet_radius,stellar_radius,insolation_flux,equilibrium_temperature,stellar_effective_temperature,stellar_surface_gravity
CANDIDATE,,133.0,8.12,,,,
CANDIDATE,23.277669,32.8,0.68,,,4379.0,
CANDIDATE,24.6842,2.49,1.17,,,,
CANDIDATE,2.2,8.4,0.87,,,4800.0,
CANDIDATE,2.6454165,9.47,0.79,,,5179.0,
CANDIDATE,2.64594828,,1.98,,,6634.0,3.99
CANDIDATE,20.98296043,,0.74,,,4822.0,4.59
CANDIDATE,1.5271792,,0.9,,,5359.0,4.5
CANDIDATE,7.8392,1.46,1.11,,,,
FALSE POSITIVE,9.2048,,3.62,,,11886.0,3.82
CANDIDATE,2.32046168,,,,,,
CANDIDATE,2.320937,15.7,1.16,,,,
CANDIDATE,1.94297,2.571,0.44,,,3197.0,4.85
FALSE POSITIVE,1.3179,55.0,1.07,,,5876.0,4.39
FALSE POSITIVE,1.3178719,62.0,1.98,,,,
CANDIDATE,0.2338108,,,,,,
FALSE POSITIVE,1.1488,,0.98,,,3429.0,4.07
CANDIDATE,46.38363,3.22,0.76,,,,
CANDIDATE,46.40651,3.35,0.73,,,4812.0,
CANDIDATE,16.563155,1.66,0.48,,,3669.0,
CANDIDATE,16.56127,0.957,0.26,,,,
CANDIDATE,18.3647,2.61,1.22,,,,
CANDIDATE,18.357773,1.74,0.75,,,4937.0,
CANDIDATE,21.9184,3.18,0.72,,,,
CANDIDATE,49.8558,3.29,1.36,,,,
CANDIDATE,4.9818921,2.66,1.04,,,5849.0,
CANDIDATE,4.98205,2.3,1.01,,,5594.0,4.38
CANDIDATE,4.9815,2.39,0.92,,,,
CANDIDATE,4.98049071,,1.14,,,5234.0,4.28
CANDIDATE,4.981838,2.393,0.98,,,5774.0,4.37
CANDIDATE,3.3055191,1.27,0.35,,,3430.0,
CANDIDATE,3.30524,6.6,1.79,,,,
FALSE POSITIVE,1.8361,,,,,,
CANDIDATE,14.5444413,,,,,,
CANDIDATE,4.30221683,,4.08,,,7168.62,3.42
FALSE POSITIVE,8.0241306,4.42,0.58,,,3939.0,
FALSE POSITIVE,8.02415,194.0,6.1,,,4734.0,2.95
FALSE POSITIVE,8.02678456,,5.6,,,4708.46,
FALSE POSITIVE,8.02335,86.0,5.13,,,,
CANDIDATE,11.31009,130.0,10.0,,,4793.0,2.37
CANDIDATE,11.31028,18.9,1.44,,,,
CANDIDATE,16.63091654,,1.27,,,5121.0,4.16
CANDIDATE,16.63237,10.7,0.47,,,3648.0,
CANDIDATE,16.63311,44.0,2.19,,,5700.0,3.84
CANDIDATE,1.057171,1.51,1.0,,,,
FALSE POSITIVE,4.377326,27.0,1.43,,,5928.0,4.08
FALSE POSITIVE,4.377339,31.9,1.69,,,,
FALSE POSITIVE,4.3772986,16.6,0.78,,,5102.0,
FALSE POSITIVE,4.37983009,,1.6,,,5982.0,4.07
CANDIDATE,0.97988263,,0.7,,,4063.0,4.57
CANDIDATE,0.980414,1.58,0.66,,,4202.0,4.76
CANDIDATE,0.98036126,1.44,0.58,,,3932.0,
CANDIDATE,0.980294,1.81,0.69,,,,
CANDIDATE,14.2005,2.36,0.79,,,,
CANDIDATE,28.8077,2.08,0.21,,,,
CANDIDATE,3.75927,68.0,10.7,,,,
CANDIDATE,2.4165066,0.988,0.38,,,3483.0,
CANDIDATE,2.41628,2.68,1.01,,,,
CANDIDATE,4.4984354,3.12,0.66,,,4309.0,
CANDIDATE,0.3938505,13.7,2.16,,,,
CANDIDATE,2.3240489,33.4,0.78,,,5107.0,
CANDIDATE,1.86732,0.648,0.69,,,,
CANDIDATE,22.9735,2.61,1.07,,,,
FALSE POSITIVE,5.6683,,0.96,,,3521.0,4.15
CANDIDATE,14.65835,1.12,0.34,,,,
CANDIDATE,14.658196,1.6,0.45,,,3610.0,
CANDIDATE,6.4349,2.47,1.49,,,,
CANDIDATE,4.27065,7.6,1.5,,,,
CANDIDATE,7.64309,8.0,1.5,,,,
CANDIDATE,16.858,5.6,1.07,,,5957.0,4.35
CANDIDATE,2.167697,12.14,2.49,,,,
CANDIDATE,19.2299,1.96,0.61,,,,
CANDIDATE,5.07152,3.2,0.43,,,,
CANDIDATE,8.1191,57.0,1.2,,,6040.0,4.32
CANDIDATE,16.235,11.0,1.2,,,6040.0,4.32
FALSE POSITIVE,24.9922,36.0,1.2,,,6040.0,4.32
CANDIDATE,4.20773,1.47,0.83,,,,
CANDIDATE,1.1761477,19.3,2.38,,,,
CANDIDATE,27.270191,2.5,1.61,,,6171.0,4.13
CANDIDATE,2.4756313,2.48,0.81,,,5239.0,
CANDIDATE,2.475573,2.98,0.89,,,,
CANDIDATE,2.475527,42.0,1.06,,,5962.0,4.4
CANDIDATE,2.475641,5.023,0.82,,,5257.0,4.49
CANDIDATE,17.72507,45.0,1.33,,,6189.0,4.15
CANDIDATE,17.725837,6.63,1.11,,,5971.0,
CANDIDATE,17.7256773,15.461,1.63,39.27,697.0,6010.0,4.06
CANDIDATE,17.7259,23.4,1.75,,,,
CANDIDATE,54.169832,22.0,0.55,,,3836.0,
CONFIRMED,8.0516,1.62,0.9,,,,
CONFIRMED,8.050722,1.31,0.83,,961.0,5502.7,
CONFIRMED,8.0468,1.18,,,,,
CANDIDATE,6.79143,1.72,0.61,,,,
CANDIDATE,14.353347,2.19,0.79,,,5162.0,
CANDIDATE,14.353438,2.16,0.83,,,5317.0,4.59
CANDIDATE,14.3533,2.18,0.85,,,,
CANDIDATE,1.88282,2.6,0.26,,,,
CANDIDATE,6.4756,1.85,1.34,,,,
CANDIDATE,2.3181466,2.9,0.67,,,4343.0,
CANDIDATE,2.31803,2.34,0.59,,,,
FALSE POSITIVE,12.4292,1.113,0.81,53.84,,5414.0,4.59
CANDIDATE,6.37733,0.76,0.26,,,,
FALSE POSITIVE,19.44212,22.0,0.35,,,3864.0,4.91
FALSE POSITIVE,19.441899,4.15,0.11,,,2601.0,
CANDIDATE,0.80032756,21.3,0.61,,,4028.0,
CANDIDATE,8.3958,3.95,2.0,,,,
CANDIDATE,12.2631,1.87,0.72,,,5106.0,4.6
CANDIDATE,12.263354,2.16,0.76,,,4980.0,
CANDIDATE,12.25823207,,0.76,,,5038.0,4.6
CANDIDATE,12.26422,2.22,0.76,,,,
CANDIDATE,10.3631,1.64,0.61,,,,
CONFIRMED,4.50717,1.44,0.82,,,,
CONFIRMED,4.50756,1.7,,,,,
CONFIRMED,0.9116567,1.35,0.94,,,5648.0,
CONFIRMED,0.911618,1.16,0.82,,,,
CONFIRMED,0.911724,1.4,1.1,,,5724.0,4.5
CONFIRMED,14.637,4.0,1.5,,,6438.0,4.2
CONFIRMED,14.647531,2.6,1.1,,,5724.0,4.5
CONFIRMED,14.6435,2.52,0.82,,,,
CONFIRMED,14.641541,2.94,0.94,,,5648.0,
CANDIDATE,9.3826,2.39,1.38,,,6377.0,4.22
CANDIDATE,9.3813402,2.86,1.39,,,6305.0,
CANDIDATE,9.38053,2.89,1.41,,,,
CANDIDATE,5.6505,1.33,1.01,,,,
CANDIDATE,4.2304959,2.56,0.67,,,4335.0,
CANDIDATE,4.23119,2.17,0.52,,,,
CANDIDATE,9.9487,1.48,1.14,,,,
CONFIRMED,2.87814,1.01,,,,,
CANDIDATE,4.1107634,1.01,0.18,,,2989.0,
CANDIDATE,1.131305,3.93,1.12,,,,
CANDIDATE,1.131316,4.6,1.32,,,6292.0,4.27
CONFIRMED,5.29853,3.32,0.67,,,,
CONFIRMED,5.2986,1.7,0.5,,,4114.0,4.8
CONFIRMED,5.29711,1.62,,,,,
CONFIRMED,0.35490972,1.45,0.57,,,3893.0,
CONFIRMED,0.354884,1.2,0.5,,,4114.0,4.8
CANDIDATE,4.1029,2.28,1.98,,,,
CANDIDATE,14.454495,2.21,0.7,,,4521.0,
CANDIDATE,28.564994,2.25,0.68,,,4418.0,
CANDIDATE,5.8796123,6.5,0.62,,,4089.0,
CANDIDATE,5.87913354,,0.81,,,4111.0,4.43
CANDIDATE,5.87975,3.76,0.39,,,4056.0,4.88
CANDIDATE,5.8797,,0.81,,,4111.0,4.43
CANDIDATE,5.879829,6.97,0.7,,,,
FALSE POSITIVE,25.2768,25.0,0.52,,,4215.0,4.76
CANDIDATE,3.292013,5.76,0.67,,,,
CANDIDATE,3.2920598,4.54,0.52,,,3764.0,
CANDIDATE,3.291897,3.39,0.4,,,3850.0,4.88
CANDIDATE,7.445026,2.281,0.83,,,5277.0,4.65
CANDIDATE,7.4448754,2.11,0.78,,,5132.0,
CANDIDATE,13.8543,3.18,1.85,,,,
CANDIDATE,54.976021,39.1,1.41,,,6333.0,
CANDIDATE,2.59824,7.7,0.79,,,,
CANDIDATE,2.5730187,17.2,0.69,,,4488.0,
CANDIDATE,2.573088,34.0,2.5,,,5165.0,3.68
CANDIDATE,37.827,1.42,0.58,,,,
CANDIDATE,0.3584061,2.66,1.03,,,,
CANDIDATE,0.358378,1.65,0.89,,,5928.0,4.25
CANDIDATE,0.35840528,1.92,1.04,,,5862.0,
